"child_id","response_id","time","time_stamp","list","age","sex","lp","doe_catalan","doe_spanish","edu_parent"
"55697","1117",1,2020-05-29,"bvq-short",24.2464065708419,"male","Monolingual",0.8,0.2,"University"
"55701","1335",1,2020-06-15,"bvq-short",24.8049281314168,"female","Bilingual",0.3,0.7,"University"
"55713","745",1,2020-04-09,"bvq-short",22.4722792607803,"female","Bilingual",0.25,0.75,"Vocational"
"55717","1297",2,2020-06-10,"bvq-short",24.5092402464066,"female","Bilingual",0.4,0.5,"University"
"55719","1185",1,2020-06-01,"bvq-short",24.1149897330595,"female","Monolingual",0.9,0.1,"University"
"55721","1336",1,2020-06-13,"bvq-short",24.5420944558522,"female","Bilingual",0.5,0.5,"University"
"55725","1186",1,2020-06-02,"bvq-short",24.1478439425051,"female","Bilingual",0.75,0.25,"University"
"55734","1337",1,2020-06-13,"bvq-short",24.476386036961,"female","Monolingual",0,0.9,"Vocational"
"55740","1232",1,2020-06-11,"bvq-short",24.3778234086242,"female","Bilingual",0.7,0.3,"University"
"55742","742",1,2020-04-08,"bvq-short",22.2422997946612,"male","Monolingual",0.2,0.8,"University"
"55746","753",1,2020-04-24,"bvq-short",22.735112936345,"male","Monolingual",0.8,0.2,"University"
"55753","1233",1,2020-06-09,"bvq-short",24.2792607802875,NA,"Bilingual",0.6,0.4,"Vocational"
"55754","1321",1,2020-06-16,"bvq-short",24.476386036961,"female","Bilingual",0.6,0.4,"University"
"55758","741",1,2020-04-13,"bvq-short",22.3408624229979,"female","Bilingual",0.5,0.5,"University"
"55760","1322",2,2020-06-23,"bvq-short",24.6406570841889,"male","Bilingual",0.5,0.5,"Secondary"
"55807","1234",1,2020-06-10,"bvq-short",23.8850102669405,"male","Monolingual",1,0,"University"
"55813","933",1,2020-05-07,"bvq-short",22.7679671457906,"female","Monolingual",0.8,0.1,"University"
"55816","1385",1,2020-07-01,"bvq-short",24.5749486652977,"male","Bilingual",0.4,0.6,"University"
"55819","1349",1,2020-07-01,"bvq-short",24.6078028747433,"male","Bilingual",0.45,0.5,"Vocational"
"55838","1236",1,2020-06-05,"bvq-short",23.6878850102669,"male","Monolingual",1,0,"University"
"55841","1237",1,2020-06-06,"bvq-short",23.6221765913758,"male","Monolingual",0.8,0.15,"University"
"55842","1280",2,2020-06-09,"bvq-short",23.6550308008214,"female","Bilingual",0.5,0.5,"University"
"55848","1080",2,2020-05-23,"bvq-short",23.0636550308008,"male","Bilingual",0.7,0.3,"Vocational"
"55849","1238",1,2020-06-07,"bvq-short",23.5564681724846,"male","Monolingual",0.9,0,"Complementary"
"55850","1086",1,2020-05-29,"bvq-short",23.2936344969199,"female","Bilingual",0.6,0.4,"University"
"55851","987",1,2020-05-14,"bvq-short",22.7679671457906,"male","Bilingual",0.7,0.3,"University"
"55856","1386",1,2020-07-02,"bvq-short",24.4106776180698,"male","Bilingual",0.3,0.7,"University"
"55863","1087",1,2020-05-31,"bvq-short",23.2279260780287,"male","Bilingual",0.4,0.6,"University"
"55872","980",1,2020-05-13,"bvq-short",22.5379876796715,"male","Monolingual",0.95,0.05,"University"
"55891","1031",1,2020-06-07,"bvq-short",23.2607802874743,"female","Monolingual",1,0,"University"
"55892","983",1,2020-05-15,"bvq-short",22.5379876796715,"female","Bilingual",0.6,0.35,"University"
"55897","978",1,2020-05-14,"bvq-short",22.3408624229979,"male","Bilingual",0.75,0.25,"Vocational"
"55898","1283",2,2020-06-10,"bvq-short",23.2936344969199,"male","Monolingual",0.8,0.2,"Vocational"
"55910","727",2,2020-04-10,"bvq-short",21.0924024640657,"male","Bilingual",0.5,0.5,"Vocational"
"55922","1085",2,2020-06-28,"bvq-short",23.8193018480493,"male","Bilingual",0.6,0.4,"Vocational"
"55928","1119",1,2020-06-02,"bvq-short",26.9404517453799,"male","Bilingual",0.4,0.6,"University"
"55940","1306",1,2020-06-16,"bvq-short",27.006160164271,"male","Bilingual",0.7,0.3,"University"
"55955","1032",2,2020-06-12,"bvq-short",23.0636550308008,"female","Monolingual",0.8,0.2,"University"
"55963","1286",1,2020-06-19,"bvq-short",23.1950718685832,"female","Bilingual",0.35,0.6,"University"
"55966","1075",2,2020-05-27,"bvq-short",22.4394250513347,"male","Bilingual",0.7,0.3,"University"
"55971","1030",2,2020-05-21,"bvq-short",22.2094455852156,"female","Monolingual",1,0,"University"
"55977","734",1,2020-06-08,"bvq-short",22.7679671457906,"female","Bilingual",0.6,0.4,"University"
"55979","1083",1,2020-05-24,"bvq-short",22.2751540041068,"female","Bilingual",0.6,0.3,"University"
"55995","1395",1,2020-07-13,"bvq-short",23.8850102669405,"female","Bilingual",0.3,0.6,"University"
"56001","1396",1,2020-07-09,"bvq-short",23.7207392197125,"male","Bilingual",0.7,0.3,"University"
"56026","925",1,2020-07-06,"bvq-short",23.4250513347023,NA,"Bilingual",0.6,0.4,"University"
"56030","921",1,2020-05-10,"bvq-short",21.5195071868583,"female","Bilingual",0.4,0.6,"University"
"56031","1241",2,2020-06-06,"bvq-short",22.4065708418891,"female","Bilingual",0.7,0.3,"University"
"56034","966",2,2020-05-11,"bvq-short",21.3223819301848,"male","Monolingual",1,0,"University"
"56039","720",1,2020-04-07,"bvq-short",20.1724845995893,"male","Bilingual",0.3,0.7,"Vocational"
"56046","1325",1,2020-07-06,"bvq-short",23.129363449692,"male","Monolingual",0.8,0.2,"University"
"56048","959",1,2020-06-01,"bvq-short",21.388090349076,"male","Bilingual",0.5,0.5,"University"
"56066","705",1,2020-05-24,"bvq-short",20.8952772073922,"male","Monolingual",0.85,0.15,"University"
"56069","923",1,2020-05-01,"bvq-short",20.1067761806982,"male","Bilingual",0.45,0.55,"University"
"56070","1400",2,2020-07-15,"bvq-short",22.5051334702259,NA,"Bilingual",0.5,0.5,"University"
"56074","1093",1,2020-05-26,"bvq-short",20.8624229979466,"male","Monolingual",0.8,0.2,"University"
"56079","917",1,2020-05-08,"bvq-short",20.3367556468172,"female","Monolingual",1,0,"Complementary"
"56084","965",1,2020-05-13,"bvq-short",20.3696098562628,"female","Bilingual",0.7,0.3,"Vocational"
"56085","1357",1,2020-06-28,"bvq-short",21.8480492813142,"male","Bilingual",0.3,0.7,"University"
"56089","961",1,2020-05-14,"bvq-short",20.3039014373717,"female","Monolingual",1,0,"University"
"56091","963",1,2020-05-12,"bvq-short",20.2710472279261,"female","Bilingual",0.6,0.4,"University"
"56093","714",1,2020-04-07,"bvq-short",19.1211498973306,"female","Bilingual",0.5,0.5,"University"
"56106","1391",1,2020-07-08,"bvq-short",22.0451745379877,"male","Bilingual",0.5,0.5,"University"
"56111","956",1,2020-05-27,"bvq-short",20.5995893223819,"female","Bilingual",0.5,0.4,"University"
"56126","710",1,2020-07-02,"bvq-short",21.8809034907598,"female","Bilingual",0.5,0.5,"University"
